,column,volume,plane,roi
0,1,3,0,6
1,1,3,0,26
2,1,3,0,29
3,1,3,0,41
4,1,3,0,51
5,1,3,0,53
6,1,3,0,63
7,1,3,0,72
8,1,3,0,74
9,1,3,0,101
10,1,3,0,109
11,1,3,0,111
12,1,3,0,120
13,1,3,0,126
14,1,3,0,155
15,1,3,0,172
16,1,3,0,204
17,1,3,0,256
18,1,3,0,443
19,1,3,1,4
20,1,3,1,39
21,1,3,1,47
22,1,3,1,49
23,1,3,1,60
24,1,3,1,63
25,1,3,1,64
26,1,3,1,66
27,1,3,1,67
28,1,3,1,71
29,1,3,1,74
30,1,3,1,78
31,1,3,1,79
32,1,3,1,80
33,1,3,1,83
34,1,3,1,85
35,1,3,1,91
36,1,3,1,103
37,1,3,1,116
38,1,3,1,119
39,1,3,1,124
40,1,3,1,127
41,1,3,1,138
42,1,3,1,142
43,1,3,1,147
44,1,3,1,168
45,1,3,1,183
46,1,3,1,191
47,1,3,1,196
48,1,3,1,204
49,1,3,1,237
50,1,3,1,252
51,1,3,1,269
52,1,3,1,296
53,1,3,1,380
54,1,3,1,381
55,1,3,1,452
56,1,3,2,1
57,1,3,2,9
58,1,3,2,14
59,1,3,2,17
60,1,3,2,19
61,1,3,2,20
62,1,3,2,22
63,1,3,2,24
64,1,3,2,26
65,1,3,2,27
66,1,3,2,29
67,1,3,2,32
68,1,3,2,34
69,1,3,2,36
70,1,3,2,39
71,1,3,2,44
72,1,3,2,45
73,1,3,2,48
74,1,3,2,67
75,1,3,2,68
76,1,3,2,72
77,1,3,2,76
78,1,3,2,77
79,1,3,2,84
80,1,3,2,85
81,1,3,2,95
82,1,3,2,101
83,1,3,2,103
84,1,3,2,104
85,1,3,2,108
86,1,3,2,110
87,1,3,2,117
88,1,3,2,119
89,1,3,2,120
90,1,3,2,124
91,1,3,2,146
92,1,3,2,150
93,1,3,2,153
94,1,3,2,154
95,1,3,2,156
96,1,3,2,161
97,1,3,2,162
98,1,3,2,177
99,1,3,2,181
100,1,3,2,202
101,1,3,2,238
102,1,3,2,242
103,1,3,2,259
104,1,3,2,260
105,1,3,2,276
106,1,3,2,310
107,1,3,2,319
108,1,3,2,355
109,1,3,2,416
110,1,3,2,526
111,1,3,3,0
112,1,3,3,4
113,1,3,3,14
114,1,3,3,17
115,1,3,3,22
116,1,3,3,23
117,1,3,3,24
118,1,3,3,26
119,1,3,3,28
120,1,3,3,29
121,1,3,3,30
122,1,3,3,34
123,1,3,3,35
124,1,3,3,36
125,1,3,3,45
126,1,3,3,52
127,1,3,3,57
128,1,3,3,59
129,1,3,3,62
130,1,3,3,66
131,1,3,3,72
132,1,3,3,80
133,1,3,3,85
134,1,3,3,95
135,1,3,3,108
136,1,3,3,118
137,1,3,3,119
138,1,3,3,124
139,1,3,3,126
140,1,3,3,132
141,1,3,3,133
142,1,3,3,141
143,1,3,3,146
144,1,3,3,149
145,1,3,3,151
146,1,3,3,158
147,1,3,3,173
148,1,3,3,188
149,1,3,3,199
150,1,3,3,202
151,1,3,3,204
152,1,3,3,222
153,1,3,3,235
154,1,3,3,246
155,1,3,3,260
156,1,3,3,276
157,1,3,3,308
158,1,3,3,374
159,1,3,3,388
160,1,3,3,474
161,1,3,3,526
162,1,3,3,550
163,1,3,3,667
164,1,3,3,680
165,1,3,4,3
166,1,3,4,5
167,1,3,4,8
168,1,3,4,15
169,1,3,4,16
170,1,3,4,18
171,1,3,4,31
172,1,3,4,44
173,1,3,4,48
174,1,3,4,50
175,1,3,4,57
176,1,3,4,62
177,1,3,4,65
178,1,3,4,67
179,1,3,4,74
180,1,3,4,75
181,1,3,4,85
182,1,3,4,86
183,1,3,4,87
184,1,3,4,88
185,1,3,4,92
186,1,3,4,98
187,1,3,4,118
188,1,3,4,122
189,1,3,4,130
190,1,3,4,132
191,1,3,4,146
192,1,3,4,150
193,1,3,4,153
194,1,3,4,166
195,1,3,4,175
196,1,3,4,176
197,1,3,4,183
198,1,3,4,184
199,1,3,4,196
200,1,3,4,202
201,1,3,4,207
202,1,3,4,215
203,1,3,4,220
204,1,3,4,225
205,1,3,4,230
206,1,3,4,234
207,1,3,4,243
208,1,3,4,247
209,1,3,4,248
210,1,3,4,254
211,1,3,4,256
212,1,3,4,270
213,1,3,4,272
214,1,3,4,276
215,1,3,4,291
216,1,3,4,298
217,1,3,4,320
218,1,3,4,328
219,1,3,4,343
220,1,3,4,373
221,1,3,4,376
222,1,3,4,392
223,1,3,4,401
224,1,3,4,425
225,1,3,5,12
226,1,3,5,14
227,1,3,5,22
228,1,3,5,23
229,1,3,5,30
230,1,3,5,34
231,1,3,5,37
232,1,3,5,38
233,1,3,5,42
234,1,3,5,49
235,1,3,5,52
236,1,3,5,57
237,1,3,5,66
238,1,3,5,73
239,1,3,5,75
240,1,3,5,79
241,1,3,5,83
242,1,3,5,85
243,1,3,5,105
244,1,3,5,109
245,1,3,5,112
246,1,3,5,114
247,1,3,5,125
248,1,3,5,141
249,1,3,5,150
250,1,3,5,154
251,1,3,5,185
252,1,3,5,191
253,1,3,5,196
254,1,3,5,214
255,1,3,5,220
256,1,3,5,291
257,1,3,5,303
258,1,3,5,318
259,1,3,5,336
260,1,3,5,346
261,1,3,5,357
262,1,3,5,358
263,1,3,5,421
264,1,3,5,470
